Arsenal,1-3,Aston Villa,Saturday 17th August 2013 
Norwich,2-2,Everton,Saturday 17th August 2013 
Sunderland,0-1,Fulham,Saturday 17th August 2013 
West Brom,0-1,Southampton,Saturday 17th August 2013 
West Ham,2-0,Cardiff,Saturday 17th August 2013 
Swansea,1-4,Man Utd,Saturday 17th August 2013 
Arsenal,100-1,Man City,Monday 25 January 2016
Cardiff,2-1,Stoke,Tuesday 16 February 2016
null
null
Cardiff,3-2,West Ham,Tuesday 16 February 2016
